G 0.1 fire,fire,damage,systems,materials,electrical,appliances,insulation,smoke,automatic,equipment
G 0.10 Failure or malfunction of supply networks,failure,networks,supply,air,operation,operated,heating,directly,affect,conditioners
G 0.11 Failure or disruption of service providers,service,provider,company,client,problems,business,supply,outsourcing,services,external
G 0.12 Electromagnetic interference,electromagnetic,radiation,air,interference,memory,communication,media,impair,large,radio
G 0.13 Interception of compromising radiation,waves,processed,radiation,example,exposing,aggravated,cases,espionage,equipment,manipulation
G 0.14 Spying on information (spying) ,access,trojan,attacker,confidential,protected,attacks,spy,acoustically,well,shielded
G 0.15 Listening,case,conversations,plain,attacker,question,transmitted,essentially,radio,effort,telephone
"G 0.16 Theft of devices, data carriers or documents",confidential,center,stolen,company,details,press,large,disappeared,screening,carriers
"G 0.17 Loss of equipment, data carriers or documents",documents,lost,carriers,result,confidential,searching,customers,memory,malfunction,competition
G 0.18 Misplanned planning or missing adjustment,processes,issues,account,planning,properly,building,provide,electronic,dependencies,party
G 0.19 Disclosure of information worthy of protection,example,hard,negative,files,transmission,confidential,institution,numbers,loss,storage
G 0.2 Unfavorable climatic conditions,failures,climatic,temperature,temperatures,buildup,high,lead,cooling,equipment,permissible
G 0.20 Information or products from unreliable source,decisions,software,origin,systems,infected,lead,internet,incorrect,unreliable,sources
G 0.21 Manipulation of hardware or software,software,implications,money,hardware,manipulating,pins,lead,managed,abused,range
G 0.22 Manipulation of information,manipulations,documents,manipulation,access,published,serious,incorrect,example,promotion,gained
G 0.23 Unauthorized intrusion into IT systems,unauthorized,access,administrative,secured,network,software,usb,unattended,activities,
G 0.24 Destruction of devices or data carriers,server,reconstructed,moisture,days,system,hard,backup,short,carriers,disk
G 0.25 Failure of devices or systems,system,inconsistencies,failure,systems,file,restarted,servers,days,firmware,manufacturer
G 0.26 Malfunction of devices or systems,database,application,time,systems,malfunctions,example,falsified,stored,statistical,weeks
G 0.27 Resource shortage,resources,network,example,time,occur,resource,overloaded,happen,needed,financial
G 0.28 Software vulnerabilities or errors,errors,software,affect,browsers,occur,bugs,lead,internet,attackers,companies
G 0.29 Violation of laws or regulations,safety,business,germany,institution,management,laws,contractually,proper,serious,processing
G 0.3 water,water,frost,defects,supply,caused,connection,leaking,short,rooms,existing
G 0.30 Unauthorized use or administration of devices and systems,unauthorized,access,example,devices,building,persons,waiting,front,people,network
G 0.31 Incorrect use or administration of devices and systems,systems,incorrect,example,torn,cables,equipment,connection,devices,rights,laid
G 0.32 Abuse of permissions,access,permissions,people,privileges,applications,rights,abuse,email,areas,users
G 0.33 Staff loss,institution,network,illness,care,administrator,air,longer,afforded,stay,access
G 0.34 stop,destroyed,center,federal,attack,politically,institution,criminal,explosive,difficulty,remote
"G 0.35 coercion, extortion or corruption",corruption,attacks,confidential,fundamentally,example,coercion,target,blackmail,directed,affect
G 0.36 Identity theft,identity,names,register,theft,attacker,manipulating,account,people,connections,original
G 0.37 Denying actions,communication,denies,example,participant,order,actions,repudiation,denied,claimed,likewise
G 0.38 Abuse of personal data,personal,collected,purpose,circumstances,control,guests,solely,credentials,persons,authorization
G 0.39 Malware,malicious,e-mail,spread,infested,computers,control,program,address,installation,common
"G 0.4 Contamination, dust, corrosion",fan,dust,failure,corrosion,power,damage,office,device,work,leave
G 0.40 Denial of Service ,dos,resources,attacks,example,spring,services,term,estonia,adverse,users
G 0.41 sabotage,technical,damage,perpetrators,business,sabotage,small,components,great,water,supply
G 0.42 Social Engineering,social,attacker,passwords,person,access,victim,attacks,service,illegally,resource
G 0.43 Importing messages,actual,communication,password,messages,attack,attackers,attacker,protocols,records,case
G 0.44 Unauthorized intrusion into premises,unauthorized,intrusion,replaced,time,check,damaged,break-in,damage,premises,prying
G 0.45 data loss,password,mobile,systems,loss,stored,technical,forgotten,measures,performed,lead
G 0.46 Integrity loss of sensitive information,authenticity,archives,documents,manipulate,electronic,proven,bit,decrypted,false,falsified
G 0.47 Adverse effects of IT-based attacks,systems,attacks,lead,target,iot,perpetrators,chain,third,objects,infrastructures
G 0.5 natural catastrophes,natural,volcanic,disasters,flood,phases,areas,damage,geographic,amounted,covered
G 0.6 disasters in the area,properties,environment,air,measures,accident,switched,rescue,chemical,plant,spread
G 0.7 Major events in the area,events,major,violence,center,street,existing,escalated,backup,accidentally,effects
G 0.8 Failure or malfunction of the power supply,power,disturbances,supply,days,supply,alarm,addition,load,example,work
G 0.9 Failure or malfunction of communication networks,services,communication,networks,lead,required,technology,internet,transported,example,links
