APP.1.1 Office Products,document,office,institution,product,user,requirement,active,content,manipulation,ensure
APP.1.2 Web browser,browser,web,system,version,protection,app,user,server,internet,code
APP.2.1 General Directory Service,directory,service,directory,area,security,administration,addition,task,user,general
APP.2.2 Active Directory,domain,active,service,system,account,security,directory,window,administrator,protection
APP.3.1 Web applications,application,web,protection,error,access,system,service,requirement,security,addition
APP.3.2 Webserver,http,server,web,app,security,service,error,application,attacker,module
APP.3.3 Fileserver,file,data,server,protection,system,backup,app,operating,security,device
APP.3.4 Samba,samba,service,system,file,configuration,server,security,window,server,requirement
APP.3.6 DNS server,dns,network,request,requirement,app,attack,product,operation,bsi,responsible
APP.4.3 Relational Database Systems,database,data,management,backup,requirement,documented,application,configuration,integrity,authorization
APP.5.1 General Groupware,groupware,security,system,data,system,requirement,encryption,app,failure,protection
APP.5.2 Microsoft Exchange and Outlook,microsoft,exchange,outlook,data,app,example,user,threat,requirement,client
CON.1 crypto concept,key,cryptographic,module,crypto,con,data,encryption,encrypted,requirement,http
CON.2 Privacy,data,requirement,protection,security,standard,person,objective,subject,gdpr,area
CON.3 data backup concept,data,backup,operation,requirement,system,storage,module,concept,medium,recovery
CON.4 Selection and use of standard software,requirement,standard,software,product,vulnerability,con,institution,security,data,program
CON.5 Development and use of professional applications,application,security,requirement,operation,specialized,loss,mechanism,software,data,implemented
CON.6 Delete and destroy,data,destruction,requirement,system,carrier,deletion,provider,access,process,din
CON.7 Information security on trips abroad,security,data,mobile,travel,user,con,requirement,sensitive,addition,context
DER.1 Detection of safety-relevant events,system,data,requirement,event,network,detection,additional,responsible,security-relevant,person
DER.2.1 Treatment of security incidents,incident,security,der,management,requirement,system,head,team,process,advance
DER.2.2 Provision for IT forensics,forensic,evidence,data,forensically,forensics,requirement,investigation,security,security,responsible
DER.2.3 Clearance of far-reaching security incidents,system,apt,attacker,http,security,data,incident,access,backdoor,requirement
DER.3.1 Audits and revisions,audit,measure,result,revision,auditor,institution,der,review,check,plan
